service_name,metric_mysql.buffer_pool.data_pages,anomaly_label,metric_mysql.buffer_pool.limit,metric_mysql.buffer_pool.operations,metric_mysql.buffer_pool.page_flushes,metric_mysql.buffer_pool.pages,metric_mysql.buffer_pool.usage,metric_mysql.double_writes,metric_mysql.handlers,metric_mysql.index.io.wait.count,metric_mysql.index.io.wait.time,metric_mysql.locks,metric_mysql.log_operations,metric_mysql.opened_resources,metric_mysql.operations,metric_mysql.page_operations,metric_mysql.prepared_statements,metric_mysql.row_locks,metric_mysql.row_operations,metric_mysql.sorts,metric_mysql.table.io.wait.count,metric_mysql.table.io.wait.time,metric_mysql.threads,metric_mysql.tmp_resources,metric_mysql.uptime,metric_mongodb.cache.operations,metric_mongodb.cursor.count,metric_mongodb.cursor.timeout.count,metric_mongodb.database.count,metric_mongodb.global_lock.time,metric_mongodb.network.io.receive,metric_mongodb.network.io.transmit,metric_mongodb.network.request.count,metric_mongodb.operation.count,metric_mongodb.session.count
unknown,1928,normal,134217728,0,36,6262,31588352,1,0,0,0,0,2,108,1929,1894,423,0,0,34,0,0,3,6,963,,,,,,,,,,
unknown,1928,normal,134217728,0,36,6262,31588352,2,0,0,0,186,2,141,7,1894,429,0,8,0,0,0,11,0,993,,,,,,,,,,
unknown,,normal,,,,,,,,,,,,,,,,,,,,,,,,4791,0,0,5,1085294,471906,17877076,3941,2436,15
unknown,1928,normal,134217728,0,36,1,31588352,1,8,0,0,0,0,108,53,34,0,0,0,0,0,0,1,6,1023,,,,,,,,,,
unknown,1928,normal,134217728,0,36,1,31588352,2,0,0,0,0,2,141,7,1894,441,0,0,37,0,0,3,6,1053,,,,,,,,,,
unknown,1928,normal,134217728,325,36,1,31588352,1,22028,0,0,201,0,141,1929,1894,447,0,0,0,0,0,14,76,1083,,,,,,,,,,
unknown,1928,normal,134217728,0,36,1928,31588352,1,0,0,0,0,0,108,53,1894,0,0,0,345,0,0,14,6,1113,,,,,,,,,,
unknown,1928,normal,134217728,3967,36,1,31588352,2,0,0,0,211,0,141,1929,36,0,0,0,40,0,0,14,80,1143,,,,,,,,,,
unknown,1928,normal,134217728,0,36,1928,31588352,2,0,0,0,216,0,141,1929,1894,0,0,8,0,0,0,3,6,1173,,,,,,,,,,
unknown,1928,normal,134217728,4107,36,1,31588352,2,0,0,0,221,0,137,7,36,0,0,0,0,0,0,3,0,1203,,,,,,,,,,
unknown,1928,normal,134217728,0,36,6262,31588352,1,0,0,0,0,0,108,1929,36,597,0,0,43,0,0,14,86,1233,,,,,,,,,,
unknown,1928,normal,134217728,0,36,1928,31588352,2,0,0,0,231,0,141,7,34,603,0,8,400,0,0,11,6,1263,,,,,,,,,,
unknown,1928,normal,134217728,0,36,1,31588352,2,8,0,0,236,2,137,1929,34,0,0,0,411,0,0,11,6,1293,,,,,,,,,,
unknown,1928,normal,134217728,0,36,1,31588352,2,26740,0,0,0,0,141,1929,34,0,0,8,0,0,0,3,6,1323,,,,,,,,,,
unknown,1928,normal,134217728,0,36,1,31588352,1,45045,0,0,246,0,141,53,36,0,0,0,0,0,0,3,6,1353,,,,,,,,,,
unknown,1928,normal,134217728,0,36,1928,31588352,1,0,0,0,0,2,108,7,34,627,0,0,0,0,0,3,6,1383,,,,,,,,,,
unknown,1928,normal,134217728,0,36,1,31588352,1,47005,0,0,256,0,108,1929,1894,0,0,0,455,0,0,11,98,1413,,,,,,,,,,
unknown,1928,normal,134217728,0,36,1928,31588352,1,0,0,0,0,0,137,53,1894,0,0,8,50,0,0,1,0,1443,,,,,,,,,,
unknown,1928,normal,134217728,325,36,1928,31588352,1,0,0,0,266,0,108,7,34,645,0,0,477,0,0,3,0,1473,,,,,,,,,,
unknown,1928,normal,134217728,4163,36,1,31588352,2,0,0,0,271,0,141,1929,1894,651,0,0,0,0,0,3,104,1503,,,,,,,,,,
unknown,1928,normal,134217728,0,36,1,31588352,2,30863,0,0,0,0,108,53,36,657,0,0,0,0,0,1,0,1533,,,,,,,,,,
unknown,1928,normal,134217728,1895,36,1,31588352,1,31452,0,0,281,0,141,53,36,0,0,8,510,0,0,1,0,1563,,,,,,,,,,
